P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-2.405,-1.126926565,-0.228,-1.15693027,-2.384,-1.206326899,-3.288,-3.406914486,-2.806,-2.732854282,-3.47,-3.184654354,-3.663,-3.036705268,,
-2.361,-1.082926565,-1.627,-2.124774576,-2.179,-1.011356516,-3.879,-3.782643399,-0.943,-0.887266869,-3.274,-2.989480584,-3.837,-3.200514284,,
-2.334,-1.063413933,-2.268,-3.366469829,-2.139,-0.979019953,-3.235,-3.386221488,-0.725,-0.680057444,-3.405,-3.120480584,-3.64,-3.014850531,,
-2.451,-1.180413933,-2.286,-3.370841715,-2.078,-0.928474212,-3.846,-3.741894935,-0.895,-0.866396757,-3.873,-3.588389708,-3.796,-3.16063586,,
-2.559,-1.289813749,-1.579,-2.684033176,-1.842,-0.70040173,-3.26,-3.411221488,-2.82,-2.811493852,-3.728,-3.444340135,-3.69,-3.064850531,,
-2.218,-0.9552796,-1.02,-2.228092137,-2.35,-1.365026827,-3.871,-3.766894935,-0.721,-0.726356524,-3.809,-3.524515012,-3.846,-3.209514284,,
-2.54,-1.2772796,-0.889,-2.13048288,-2.16,-1.175026827,-3.231,-3.382221488,-0.513,-0.538006158,-3.809,-3.524515012,-3.669,-3.038157372,,
-3.65,-2.388745013,-0.765,-2.00648288,-1.49,-0.526828791,-3.908,-3.822194903,-0.729,-0.763742713,-3.32,-3.036243991,-3.718,-3.097569568,,
-3.754,-2.499523889,-2.218,-2.731086548,-1.483,-0.519828791,-3.282,-3.465650843,-2.434,-2.482207648,-3.741,-3.457243991,-3.853,-3.221013439,,
-2.789,-1.534523889,-0.572,-1.844547235,-1.487,-0.538181759,-3.923,-3.837194903,-1.105,-1.185582243,-3.813,-3.529243991,-3.672,-3.041157372,,
-2.435,-1.187553485,-0.256,-1.284430793,-1.715,-0.776678394,-3.272,-3.455650843,-0.799,-0.938496016,-3.86,-3.57560229,-3.682,-3.051157372,,
